what,kind,bundleId,bundleVersion,description,time
started,bundle,com.google.gwt.eclipse.sdkbundle,2.3.0.r36v201104261928,"com.google.gwt.eclipse.sdkbundle",1339851485420
started,bundle,com.google.gdt.eclipse.platform.shared,2.3.1.r36v201105092302,"com.google.gdt.eclipse.platform.shared",1339851485498
started,bundle,com.google.gdt.eclipse.platform.e36,2.3.1.r36v201105092302,"com.google.gdt.eclipse.platform.e36",1339851485498
started,bundle,com.google.gwt.eclipse.core,2.3.1.r36v201105092302,"com.google.gwt.eclipse.core",1339851485701
started,bundle,com.google.gdt.eclipse.suite,2.3.1.r36v201105092302,"com.google.gdt.eclipse.suite",1339851485913
started,bundle,com.google.gdt.eclipse.platform,2.3.1.r36v201105092302,"com.google.gdt.eclipse.platform",1339851486022
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339851486346
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339851490427
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339851496303
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339851502495
started,bundle,org.eclipse.wst.web.ui,1.1.401.v201109151600,"org.eclipse.wst.web.ui",1339851510723
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1339851510928
activated,perspective,org.eclipse.wst.web.ui,1.1.401.v201109151600,"org.eclipse.wst.web.ui.webDevPerspective",1339851510973
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1339851511208
executed,command,,,"org.eclipse.wst.web.ui.webDevPerspective",1339851511208
started,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20110318-1700,"org.eclipse.team.svn.revision.graph",1339851511342
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.linkWithEditor",1339851513872
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1339851516161
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339851522516
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339851527232
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339851531518
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339851534592
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1339851534669
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339851540122
started,bundle,org.eclipse.wb.os,1.0.0.r36x201106161401,"org.eclipse.wb.os",1339851541552
started,bundle,org.eclipse.wb.os.win32,1.0.0.r36x201106161401,"org.eclipse.wb.os.win32",1339851541583
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339851552618
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339851570752
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1339851577232
